	x_val	y_val	z_val
0	0	0	0.0
1	0	1	0.0
2	0	2	0.0
3	0	3	0.0
4	0	4	0.0
5	0	5	0.0
6	0	6	0.0
7	0	7	0.0
8	0	8	0.0
9	0	9	0.0
10	0	25	0.0
11	0	35	0.0
12	0	41	0.0
13	0	42	0.0
14	0	60	0.0
15	0	61	0.0
16	0	62	0.0
17	0	63	0.0
18	0	64	0.0
19	0	82	0.0
20	0	92	0.0
21	0	93	0.0
22	0	94	0.0
23	0	95	0.0
24	1	8	0.0
25	1	9	0.0
26	1	25	0.0
27	1	35	0.0
28	1	41	0.0
29	1	42	0.0
30	1	60	0.0
31	1	61	0.0
32	1	62	0.0
33	1	63	0.0
34	1	64	0.0
35	1	82	0.0
36	2	14	0.0
37	2	25	0.0
38	2	34	0.0
39	2	35	0.0
40	2	60	0.0
41	2	82	0.0
42	3	12	0.0
43	3	13	0.0
44	3	14	0.0
45	3	19	0.0
46	3	25	0.0
47	3	35	0.0
48	3	45	0.0
49	3	46	0.0
50	3	52	0.0
51	3	53	0.0
52	3	54	0.0
53	3	59	0.0
54	3	60	0.0
55	3	82	0.0
56	4	12	0.0
57	4	18	0.0
58	4	19	0.0
59	4	35	0.0
60	4	36	0.0
61	4	37	0.0
62	4	38	0.0
63	4	39	0.0
64	4	51	0.0
65	4	52	0.0
66	4	53	0.0
67	4	59	0.0
68	4	60	0.0
69	4	66	0.0
70	4	67	0.0
71	4	100	0.0
72	5	12	0.0
73	5	18	0.0
74	5	19	0.0
75	5	20	0.0
76	5	21	0.0
77	5	22	0.0
78	5	23	0.0
79	5	29	0.0
80	5	35	0.0
81	5	36	0.0
82	5	37	0.0
83	5	38	0.0
84	5	39	0.0
85	5	49	0.0
86	5	50	0.0
87	5	51	0.0
88	5	52	0.0
89	5	53	0.0
90	5	59	0.0
91	5	60	0.0
92	5	66	0.0
93	5	67	0.0
94	5	88	0.0
95	5	89	0.0
96	5	90	0.0
97	5	95	0.0
98	5	96	0.0
99	5	97	0.0
100	5	98	0.0
101	5	99	0.0
102	5	100	0.0
103	6	3	0.0
104	6	4	0.0
105	6	5	0.0
106	6	6	0.0
107	6	11	0.0
108	6	12	0.0
109	6	18	0.0
110	6	19	0.0
