	x_val	y_val	z_val
0	0	0	0.0
1	0	1	0.0
2	0	2	0.0
3	0	3	0.0
4	0	4	0.0
5	0	5	0.0
6	0	6	0.0
7	0	7	0.0
8	0	8	0.0
9	0	9	0.0
10	0	10	0.0
11	0	11	0.0
12	0	12	0.0
13	0	13	0.0
14	0	14	0.0
15	0	15	0.0
16	0	16	0.0
17	0	26	0.0
18	0	27	0.0
19	0	28	0.0
20	0	29	0.0
21	0	30	0.0
22	0	31	0.0
23	0	32	0.0
24	0	33	0.0
25	0	34	0.0
26	0	35	0.0
27	0	36	0.0
28	0	37	0.0
29	0	38	0.0
30	0	39	0.0
31	0	40	0.0
32	0	41	0.0
33	0	42	0.0
34	0	52	0.0
35	0	53	0.0
36	0	54	0.0
37	0	55	0.0
38	0	56	0.0
39	0	57	0.0
40	0	58	0.0
41	0	59	0.0
42	0	60	0.0
43	0	61	0.0
44	0	62	0.0
45	0	63	0.0
46	0	64	0.0
47	0	89	0.0
48	0	90	0.0
49	0	91	0.0
50	0	92	0.0
51	0	93	0.0
52	0	94	0.0
53	1	0	0.0
54	1	10	0.0
55	1	11	0.0
56	1	12	0.0
57	1	13	0.0
58	1	14	0.0
59	1	15	0.0
60	1	16	0.0
61	1	26	0.0
62	1	27	0.0
63	1	28	0.0
64	1	29	0.0
65	1	39	0.0
66	1	40	0.0
67	1	41	0.0
68	1	42	0.0
69	1	52	0.0
70	1	53	0.0
71	1	54	0.0
72	1	55	0.0
73	1	56	0.0
74	1	57	0.0
75	1	58	0.0
76	1	59	0.0
77	1	60	0.0
78	1	61	0.0
79	1	62	0.0
80	1	63	0.0
81	1	64	0.0
82	1	89	0.0
83	1	90	0.0
84	1	91	0.0
85	1	92	0.0
86	1	93	0.0
87	1	94	0.0
88	2	0	0.0
89	2	10	0.0
90	2	11	0.0
91	2	12	0.0
92	2	13	0.0
93	2	14	0.0
94	2	15	0.0
95	2	16	0.0
96	2	26	0.0
97	2	27	0.0
98	2	28	0.0
99	2	29	0.0
100	2	39	0.0
101	2	40	0.0
102	2	41	0.0
103	2	42	0.0
104	2	52	0.0
105	2	53	0.0
106	2	54	0.0
107	2	55	0.0
108	2	56	0.0
109	2	57	0.0
110	2	58	0.0
