	x_val	y_val	z_val
0	0	56	0.0
1	0	57	0.0
2	0	71	0.0
3	1	56	0.0
4	1	57	0.0
5	1	71	0.0
6	2	4	0.0
7	2	56	0.0
8	2	57	0.0
9	2	71	0.0
10	3	5	0.0
11	3	56	0.0
12	3	57	0.0
13	3	71	0.0
14	4	56	0.0
15	4	57	0.0
16	4	71	0.0
17	5	51	0.0
18	5	56	0.0
19	5	57	0.0
20	5	71	0.0
21	6	52	0.0
22	6	56	0.0
23	6	57	0.0
24	6	71	0.0
25	7	56	0.0
26	7	57	0.0
27	7	71	0.0
28	8	54	0.0
29	8	56	0.0
30	8	57	0.0
31	8	66	0.0
32	8	71	0.0
33	9	55	0.0
34	9	56	0.0
35	9	57	0.0
36	9	67	0.0
37	9	71	0.0
38	9	72	0.0
39	9	73	0.0
40	9	74	0.0
41	9	75	0.0
42	9	76	0.0
43	9	77	0.0
44	9	78	0.0
45	10	30	0.0
46	10	54	0.0
47	10	55	0.0
48	10	56	0.0
49	10	57	0.0
50	10	68	0.0
51	11	31	0.0
52	11	54	0.0
53	11	55	0.0
54	11	56	0.0
55	11	57	0.0
56	12	54	0.0
57	12	55	0.0
58	12	56	0.0
59	12	57	0.0
60	12	87	0.0
61	12	96	0.0
62	13	54	0.0
63	13	55	0.0
64	13	56	0.0
65	13	57	0.0
66	13	58	0.0
67	13	59	0.0
68	13	97	0.0
69	14	54	0.0
70	14	55	0.0
71	14	56	0.0
72	14	57	0.0
73	14	58	0.0
74	14	59	0.0
75	14	98	0.0
76	15	49	0.0
77	15	54	0.0
78	15	55	0.0
79	15	56	0.0
80	15	57	0.0
81	15	58	0.0
82	15	59	0.0
83	15	99	0.0
84	16	50	0.0
85	16	54	0.0
86	16	55	0.0
87	16	56	0.0
88	16	57	0.0
89	16	58	0.0
90	16	59	0.0
91	17	51	0.0
92	17	54	0.0
93	17	55	0.0
94	17	56	0.0
95	17	57	0.0
96	17	58	0.0
97	17	59	0.0
98	18	52	0.0
99	18	54	0.0
100	18	55	0.0
101	18	56	0.0
102	18	57	0.0
103	18	58	0.0
104	18	59	0.0
105	18	79	0.0
106	19	10	0.0
107	19	19	0.0
108	19	68	0.0
109	20	10	0.0
110	20	49	0.0
111	20	50	0.0
112	20	51	0.0
113	20	69	0.0
114	21	70	0.0
115	23	5	0.0
116	23	73	0.0
117	23	74	0.0
118	23	75	0.0
119	23	76	0.0
120	23	77	0.0
121	23	78	0.0
122	23	79	0.0
123	23	88	0.0
124	24	6	0.0
125	24	89	0.0
126	24	98	0.0
127	25	7	0.0
128	25	99	0.0
129	26	8	0.0
130	27	9	0.0
131	28	0	0.0
132	28	1	0.0
133	28	2	0.0
134	28	3	0.0
135	28	4	0.0
136	28	5	0.0
137	28	6	0.0
138	28	7	0.0
139	28	8	0.0
140	28	9	0.0
141	28	84	0.0
142	28	85	0.0
143	28	86	0.0
144	28	87	0.0
145	28	88	0.0
146	28	89	0.0
147	31	68	0.0
148	32	59	0.0
149	32	69	0.0
150	32	79	0.0
151	33	22	0.0
152	33	80	0.0
153	34	13	0.0
154	34	14	0.0
155	34	15	0.0
156	34	16	0.0
157	34	17	0.0
158	34	18	0.0
159	34	19	0.0
160	34	20	0.0
161	34	21	0.0
162	34	22	0.0
163	36	31	0.0
164	36	41	0.0
165	37	8	0.0
166	37	32	0.0
167	37	42	0.0
168	37	54	0.0
169	37	71	0.0
170	37	89	0.0
171	38	9	0.0
172	38	71	0.0
173	39	10	0.0
174	39	71	0.0
175	40	11	0.0
176	40	71	0.0
177	41	12	0.0
178	41	66	0.0
179	41	71	0.0
180	42	0	0.0
181	42	1	0.0
182	42	2	0.0
183	42	3	0.0
184	42	4	0.0
185	42	5	0.0
186	42	6	0.0
187	42	7	0.0
188	42	8	0.0
189	42	9	0.0
190	42	10	0.0
191	42	11	0.0
192	42	12	0.0
193	42	46	0.0
194	42	47	0.0
195	42	71	0.0
196	42	100	0.0
197	43	0	0.0
198	43	1	0.0
199	43	2	0.0
200	43	3	0.0
201	43	4	0.0
202	43	5	0.0
203	43	6	0.0
204	43	7	0.0
205	43	8	0.0
206	43	9	0.0
207	43	10	0.0
208	43	11	0.0
209	43	12	0.0
210	43	46	0.0
211	43	47	0.0
212	43	71	0.0
213	43	80	0.0
214	44	0	0.0
215	44	1	0.0
216	44	2	0.0
217	44	3	0.0
218	44	4	0.0
219	44	5	0.0
220	44	6	0.0
221	44	7	0.0
222	44	8	0.0
223	44	9	0.0
224	44	10	0.0
225	44	11	0.0
226	44	12	0.0
227	44	46	0.0
228	44	47	0.0
229	44	71	0.0
230	44	81	0.0
231	45	0	0.0
232	45	1	0.0
233	45	46	0.0
234	45	47	0.0
235	45	71	0.0
236	45	82	0.0
237	46	0	0.0
238	46	1	0.0
239	46	41	0.0
240	46	46	0.0
241	46	47	0.0
242	46	56	0.0
243	46	71	0.0
244	46	83	0.0
245	47	0	0.0
246	47	1	0.0
247	47	57	0.0
248	47	71	0.0
249	48	0	0.0
250	48	1	0.0
251	48	71	0.0
252	48	72	0.0
253	48	73	0.0
254	48	74	0.0
255	48	75	0.0
256	48	76	0.0
257	49	71	0.0
258	49	72	0.0
259	49	73	0.0
260	49	74	0.0
261	49	75	0.0
262	49	76	0.0
263	50	66	0.0
264	50	71	0.0
265	50	72	0.0
266	50	73	0.0
267	50	74	0.0
268	50	75	0.0
269	50	76	0.0
270	51	52	0.0
271	51	53	0.0
272	51	54	0.0
273	51	55	0.0
274	51	56	0.0
275	51	57	0.0
276	51	67	0.0
277	51	71	0.0
278	51	72	0.0
279	51	73	0.0
280	51	74	0.0
281	51	75	0.0
282	51	76	0.0
283	51	90	0.0
284	51	91	0.0
285	52	52	0.0
286	52	53	0.0
287	52	54	0.0
288	52	55	0.0
289	52	56	0.0
290	52	57	0.0
291	52	74	0.0
292	52	75	0.0
293	52	76	0.0
294	52	90	0.0
295	52	91	0.0
296	53	10	0.0
297	53	74	0.0
298	53	75	0.0
299	53	76	0.0
300	53	90	0.0
301	53	91	0.0
302	54	74	0.0
303	54	75	0.0
304	54	76	0.0
305	54	90	0.0
306	54	91	0.0
307	54	100	0.0
308	55	47	0.0
309	55	74	0.0
310	55	75	0.0
311	55	76	0.0
312	55	85	0.0
313	55	90	0.0
314	55	91	0.0
315	56	17	0.0
316	56	18	0.0
317	56	48	0.0
318	56	74	0.0
319	56	75	0.0
320	56	76	0.0
321	56	86	0.0
322	56	90	0.0
323	56	91	0.0
324	57	17	0.0
325	57	18	0.0
326	57	74	0.0
327	57	75	0.0
328	57	76	0.0
329	58	17	0.0
330	58	18	0.0
331	58	74	0.0
332	58	75	0.0
333	58	76	0.0
334	59	17	0.0
335	59	18	0.0
336	59	27	0.0
337	59	74	0.0
338	59	75	0.0
339	59	76	0.0
340	59	99	0.0
341	59	100	0.0
342	60	17	0.0
343	60	42	0.0
344	60	43	0.0
345	60	44	0.0
346	60	45	0.0
347	60	46	0.0
348	60	47	0.0
349	60	48	0.0
350	60	69	0.0
351	60	74	0.0
352	60	75	0.0
353	60	76	0.0
354	60	77	0.0
355	60	99	0.0
356	60	100	0.0
357	61	17	0.0
358	61	42	0.0
359	61	57	0.0
360	61	70	0.0
361	61	74	0.0
362	61	75	0.0
363	61	76	0.0
364	61	77	0.0
365	62	12	0.0
366	62	17	0.0
367	62	42	0.0
368	62	71	0.0
369	62	74	0.0
370	62	75	0.0
371	62	76	0.0
372	62	77	0.0
373	63	13	0.0
374	63	17	0.0
375	63	42	0.0
376	63	72	0.0
377	63	74	0.0
378	63	75	0.0
379	63	76	0.0
380	63	77	0.0
381	64	42	0.0
382	64	73	0.0
383	64	74	0.0
384	64	75	0.0
385	64	76	0.0
386	64	77	0.0
387	65	42	0.0
388	65	66	0.0
389	65	67	0.0
390	65	68	0.0
391	65	69	0.0
392	65	70	0.0
393	65	71	0.0
394	65	72	0.0
395	65	73	0.0
396	65	74	0.0
397	65	75	0.0
398	65	76	0.0
399	65	77	0.0
400	66	42	0.0
401	66	66	0.0
402	66	67	0.0
403	66	68	0.0
404	66	69	0.0
405	66	70	0.0
406	66	71	0.0
407	66	72	0.0
408	66	73	0.0
409	66	74	0.0
410	66	75	0.0
411	66	76	0.0
412	66	77	0.0
413	67	66	0.0
414	67	67	0.0
415	68	66	0.0
416	68	67	0.0
417	69	51	0.0
418	69	66	0.0
419	69	67	0.0
420	70	52	0.0
421	70	61	0.0
422	70	66	0.0
423	70	67	0.0
424	71	62	0.0
425	71	66	0.0
426	71	67	0.0
427	72	63	0.0
428	72	66	0.0
429	72	67	0.0
430	73	64	0.0
431	73	66	0.0
432	73	67	0.0
433	74	4	0.0
434	74	51	0.0
435	74	52	0.0
436	74	65	0.0
437	74	66	0.0
438	74	67	0.0
439	74	94	0.0
440	74	99	0.0
441	74	100	0.0
442	75	51	0.0
443	75	52	0.0
444	75	53	0.0
445	75	54	0.0
446	75	55	0.0
447	75	56	0.0
448	75	57	0.0
449	75	58	0.0
450	75	59	0.0
451	75	60	0.0
452	75	61	0.0
453	75	62	0.0
454	75	63	0.0
455	75	64	0.0
456	75	65	0.0
457	75	66	0.0
458	75	67	0.0
459	76	51	0.0
460	76	52	0.0
461	76	53	0.0
462	76	54	0.0
463	76	55	0.0
464	76	56	0.0
465	76	57	0.0
466	76	58	0.0
467	76	59	0.0
468	76	60	0.0
469	76	61	0.0
470	76	62	0.0
471	76	63	0.0
472	76	64	0.0
473	76	65	0.0
474	76	66	0.0
475	76	67	0.0
476	77	7	0.0
477	77	9	0.0
478	77	10	0.0
479	77	11	0.0
480	77	51	0.0
481	77	52	0.0
482	77	66	0.0
483	77	67	0.0
484	77	84	0.0
485	78	8	0.0
486	78	9	0.0
487	78	10	0.0
488	78	11	0.0
489	78	51	0.0
490	78	52	0.0
491	78	66	0.0
492	78	67	0.0
493	79	7	0.0
494	79	8	0.0
495	79	9	0.0
496	79	10	0.0
497	79	11	0.0
498	79	46	0.0
499	79	51	0.0
500	79	52	0.0
501	79	66	0.0
502	79	67	0.0
503	80	51	0.0
504	80	52	0.0
505	80	66	0.0
506	80	67	0.0
507	80	68	0.0
508	80	69	0.0
509	80	70	0.0
510	80	71	0.0
511	80	72	0.0
512	80	73	0.0
513	80	74	0.0
514	80	75	0.0
515	81	51	0.0
516	81	52	0.0
517	81	66	0.0
518	81	67	0.0
519	81	68	0.0
520	81	69	0.0
521	81	70	0.0
522	81	71	0.0
523	81	72	0.0
524	81	73	0.0
525	81	74	0.0
526	81	75	0.0
527	82	51	0.0
528	82	52	0.0
529	82	66	0.0
530	82	67	0.0
531	82	68	0.0
532	82	69	0.0
533	82	70	0.0
534	82	71	0.0
535	82	72	0.0
536	82	73	0.0
537	82	74	0.0
538	82	75	0.0
539	83	51	0.0
540	83	52	0.0
541	83	66	0.0
542	83	67	0.0
543	84	51	0.0
544	84	52	0.0
545	84	66	0.0
546	84	67	0.0
547	85	16	0.0
548	85	17	0.0
549	85	51	0.0
550	85	52	0.0
551	85	61	0.0
552	85	66	0.0
553	85	67	0.0
554	86	16	0.0
555	86	17	0.0
556	86	51	0.0
557	86	52	0.0
558	86	62	0.0
559	86	66	0.0
560	86	67	0.0
561	87	16	0.0
562	87	17	0.0
563	87	51	0.0
564	87	52	0.0
565	87	63	0.0
566	87	66	0.0
567	87	67	0.0
568	87	84	0.0
569	88	46	0.0
570	88	51	0.0
571	88	52	0.0
572	88	98	0.0
573	88	99	0.0
574	88	100	0.0
575	89	47	0.0
576	89	51	0.0
577	89	52	0.0
578	90	48	0.0
579	90	51	0.0
580	90	52	0.0
581	90	53	0.0
582	90	54	0.0
583	90	55	0.0
584	90	56	0.0
585	90	57	0.0
586	90	58	0.0
587	91	2	0.0
588	91	57	0.0
589	91	58	0.0
590	92	26	0.0
591	92	36	0.0
592	92	57	0.0
593	92	58	0.0
594	92	77	0.0
595	92	81	0.0
596	92	82	0.0
597	93	4	0.0
598	93	27	0.0
599	93	37	0.0
600	93	41	0.0
601	93	42	0.0
602	93	43	0.0
603	93	57	0.0
604	93	58	0.0
605	93	78	0.0
606	93	81	0.0
607	93	82	0.0
608	94	57	0.0
609	94	58	0.0
